"Date","Open","High","Low","Close","a","b"
"19/11/2008",8309.35,8370.09,8115.71,8273.22,8278.81930629022,"ETS(M,N,N)"
"20/11/2008",8149.77,8149.79,7703.04,7703.04,7772.27073187994,"ETS(M,N,N)"
"21/11/2008",7600.35,7994.68,7406.18,7910.79,7893.81863975172,"ETS(A,N,N)"
"25/11/2008",8026.06,8356.83,8025.69,8323.93,8218.5154076899,"ETS(A,N,N)"
"26/11/2008",8229.72,8317.83,8149.56,8213.22,8213.23110125015,"ETS(M,N,N)"
"27/11/2008",8311.24,8458.68,8300.49,8373.39,8373.37382740516,"ETS(M,N,N)"
"28/11/2008",8400.05,8518.13,8336.57,8512.27,8512.25606338749,"ETS(M,N,N)"
"01/12/2008",8464.36,8464.36,8307.28,8397.22,8397.23152243931,"ETS(A,N,N)"
"02/12/2008",8266.32,8266.32,7863.69,7863.69,7863.74533077067,"ETS(A,N,N)"
"03/12/2008",7965.31,8056.38,7889.82,8004.1,8004.08581024082,"ETS(A,N,N)"
"04/12/2008",8030.2,8107.69,7849.84,7924.24,7924.24806686758,"ETS(A,N,N)"
"05/12/2008",7975.05,8024.33,7908.65,7917.51,7917.51067817855,"ETS(A,N,N)"
"08/12/2008",7970.69,8358.27,7959.01,8329.05,8329.00697732701,"ETS(A,N,N)"
"09/12/2008",8362.37,8499.6,8314.85,8395.87,8383.92271032105,"ETS(A,N,N)"
"10/12/2008",8376,8704.92,8376,8660.24,8660.21337351506,"ETS(M,N,N)"
"11/12/2008",8642.26,8720.55,8519.11,8720.55,8713.96615742914,"ETS(M,N,N)"
"12/12/2008",8599.12,8610.73,8087.99,8235.87,8403.81486153338,"ETS(M,N,N)"
"15/12/2008",8349.85,8700.17,8349.85,8664.66,8552.19181018873,"ETS(M,N,N)"
"16/12/2008",8608.4,8634.26,8471.24,8568.02,8564.10571652642,"ETS(M,N,N)"
"17/12/2008",8658.22,8741.24,8425.66,8612.52,8596.58351418073,"ETS(M,N,N)"
"18/12/2008",8565.16,8728.36,8534.84,8667.23,8645.14329470456,"ETS(M,N,N)"
"19/12/2008",8640.22,8743.22,8570.56,8588.52,8607.31983077769,"ETS(A,N,N)"
"22/12/2008",8602.5,8751.18,8593.76,8723.78,8686.24086356184,"ETS(A,N,N)"
"24/12/2008",8630.25,8631.83,8476.69,8517.1,8555.85470270974,"ETS(A,N,N)"
"25/12/2008",8531.51,8599.5,8531.16,8599.5,8590.09584264338,"ETS(A,N,N)"
"26/12/2008",8642.14,8740.76,8611.36,8739.52,8686.30722452046,"ETS(A,N,N)"
"29/12/2008",8726.31,8763.67,8638.6,8747.17,8732.85962781257,"ETS(A,N,N)"
"30/12/2008",8716.28,8859.56,8702.95,8859.56,8827.76539318504,"ETS(A,N,N)"
"05/01/2009",8991.21,9127.38,8987.36,9043.12,8994.12903541987,"ETS(A,N,N)"
"06/01/2009",9130.01,9171.03,9029.94,9080.84,9055.11766933142,"ETS(A,N,N)"
"07/01/2009",9133.8,9325.35,9106.05,9239.24,9182.85083989366,"ETS(A,N,N)"
"08/01/2009",9143.21,9148.83,8876.42,8876.42,8942.43311582192,"ETS(A,N,N)"
"09/01/2009",8932.71,8956.85,8773.2,8836.8,8869.72438030642,"ETS(A,N,N)"
"13/01/2009",8732.63,8732.93,8405.5,8413.91,8504.91520004434,"ETS(M,N,N)"
"14/01/2009",8425.75,8516.07,8359.16,8438.45,8447.03134009053,"ETS(A,N,N)"
"15/01/2009",8309.38,8309.38,7997.73,8023.31,8086.21536353933,"ETS(A,N,N)"
"16/01/2009",8125.2,8283.91,8067.47,8230.15,8207.65070831913,"ETS(A,N,N)"
"19/01/2009",8318.26,8351.68,8221.84,8256.85,8245.93807363905,"ETS(M,N,N)"
"20/01/2009",8187.14,8190.42,7962.46,8065.79,8100.55838097176,"ETS(M,N,N)"
"21/01/2009",7949.96,8009.22,7829.3,7901.64,7935.3095457012,"ETS(M,N,N)"
"22/01/2009",7988.3,8051.74,7809.89,8051.74,8031.15250770355,"ETS(M,N,N)"
"23/01/2009",7965.41,7965.41,7745.25,7745.25,7802.17240323805,"ETS(A,N,N)"
